description,price,image,market,brand
Silla plegable Carrefour Home acolchada rojo,"$ 14.900,00",https://carrefourar.vtexassets.com/arquivos/ids/254851-170-170?v=637975512942670000&width=170&height=170&aspect=true,Carrefour,
Banqueta Carrefour Home caño plegable negra,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/274482-170-170?v=638118969675900000&width=170&height=170&aspect=true,Carrefour,
Taburete plegable Carrefour Home con respaldo negro,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255451-170-170?v=637981760433370000&width=170&height=170&aspect=true,Carrefour,
Sillón Carrefour Home criqueto azul 3 posiciones 180 cm,"$ 159.900,00",https://carrefourar.vtexassets.com/arquivos/ids/411733-170-170?v=638348853003030000&width=170&height=170&aspect=true,Carrefour,
Silla plegable Carrefour Home acolchada pvc y caño azul,"$ 14.900,00",https://carrefourar.vtexassets.com/arquivos/ids/254852-170-170?v=637975513936830000&width=170&height=170&aspect=true,Carrefour,
Silla plegable Carrefour Home decorada,"$ 15.900,00",https://carrefourar.vtexassets.com/arquivos/ids/255444-170-170?v=637980935789670000&width=170&height=170&aspect=true,Carrefour,
Banqueta Carrefour Home caño plegable gris,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/254420-170-170?v=637973765363770000&width=170&height=170&aspect=true,Carrefour,
Taburete plegable Carrefour Home con respaldo gris,"$ 9.900,00",https://carrefourar.vtexassets.com/arquivos/ids/254853-170-170?v=637975517934930000&width=170&height=170&aspect=true,Carrefour,
Sillón de Oficina Byron Negro,"$ 149.900,00",https://carrefourar.vtexassets.com/arquivos/ids/164629-170-170?v=637467714030770000&width=170&height=170&aspect=true,Carrefour,
Taburete de bar Carrefour Home PP negro,"$ 49.900,00",https://carrefourar.vtexassets.com/arquivos/ids/237992-170-170?v=637830525850430000&width=170&height=170&aspect=true,Carrefour,
Sillón de Oficina Carmen Negro,"$ 149.900,00",https://carrefourar.vtexassets.com/arquivos/ids/164627-170-170?v=637467714019930000&width=170&height=170&aspect=true,Carrefour,
Biblioteca Centro Estant ken blanco,"$ 62.649,00",https://carrefourar.vtexassets.com/arquivos/ids/271606-170-170?v=638095732084000000&width=170&height=170&aspect=true,Carrefour,
Banqueta Carrefour Home caño plegable blanco,"$ 8.900,00",https://carrefourar.vtexassets.com/arquivos/ids/324191-170-170?v=638197689725630000&width=170&height=170&aspect=true,Carrefour,
Escritorio Centro Estant roma blanco,"$ 66.900,00",https://carrefourar.vtexassets.com/arquivos/ids/271611-170-170?v=638095732136800000&width=170&height=170&aspect=true,Carrefour,ROMA
Escritorio industrial Dielfe,"$ 115.000,00",https://carrefourar.vtexassets.com/arquivos/ids/315658-170-170?v=638175095065100000&width=170&height=170&aspect=true,Carrefour,
Mesa Carrefour Home plegable negro,"$ 21.900,00",https://carrefourar.vtexassets.com/arquivos/ids/237996-170-170?v=637830525882530000&width=170&height=170&aspect=true,Carrefour,
Rack para microondas Centro Estant G11BL blanco,"$ 78.900,00",https://carrefourar.vtexassets.com/arquivos/ids/165005-170-170?v=637467716789900000&width=170&height=170&aspect=true,Carrefour,
